2022/05/07 07:35:37 [emerg] 8472#5064: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:10 [emerg] 1084#7728: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:12 [emerg] 7172#5948: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:15 [emerg] 9508#6684: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:16 [emerg] 10400#9988: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:16 [emerg] 4608#10460: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:17 [emerg] 6512#8796: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:36:17 [emerg] 6076#424: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:38:40 [emerg] 7884#6340: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:38:41 [emerg] 4840#5216: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:38:41 [emerg] 3172#3124: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:38:42 [emerg] 8084#7548: CreateFile() "C:\Users\Administrator\Desktop\python网页研学\nginx-1.21.6/conf/nginx.conf" failed (3: The system cannot find the path specified)
2022/05/07 07:43:00 [error] 9840#10020: *1 CreateFile() "C:\Users\Administrator\Desktop\python-web\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:1080", referrer: "http://localhost:1080/"
2022/05/07 07:43:48 [error] 9240#7764: *1 CreateFile() "C:\Users\Administrator\Desktop\python-web\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/05/07 07:45:31 [error] 9240#7764: *4 CreateFile() "C:\Users\Administrator\Desktop\python-web\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 10.100.80.158, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "10.100.80.14", referrer: "http://10.100.80.14/"
2022/05/07 07:52:25 [notice] 7460#9916: signal process started
2022/05/07 07:54:29 [error] 8188#5516: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.158, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:5000/", host: "10.100.80.14"
2022/05/07 07:54:47 [error] 8188#5516: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.158, server: localhost, request: "GET /static/assets/js/bootstrap.min.js HTTP/1.1", upstream: "http://[::1]:5000/static/assets/js/bootstrap.min.js", host: "10.100.80.14", referrer: "http://10.100.80.14/task1"
2022/05/07 07:55:06 [error] 8188#5516: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.158, server: localhost, request: "POST /task_1_run HTTP/1.1", upstream: "http://[::1]:5000/task_1_run", host: "10.100.80.14", referrer: "http://10.100.80.14/task1"
2022/05/07 07:58:43 [error] 8188#5516: *70 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.158, server: localhost, request: "GET /static/jquery-3.6.0.min.js HTTP/1.1", upstream: "http://[::1]:5000/static/jquery-3.6.0.min.js", host: "10.100.80.14", referrer: "http://10.100.80.14/task1"
2022/05/07 07:58:55 [error] 8188#5516: *67 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.158, server: localhost, request: "GET /static/assets/css/main.css HTTP/1.1", upstream: "http://[::1]:5000/static/assets/css/main.css", host: "10.100.80.14", referrer: "http://10.100.80.14/task1"
2022/05/07 08:09:11 [error] 8188#5516: *113 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.14, server: localhost, request: "GET /static/assets/css/main.css HTTP/1.1", upstream: "http://[::1]:5000/static/assets/css/main.css", host: "10.100.80.14", referrer: "http://10.100.80.14/"
2022/05/07 08:10:04 [error] 8188#5516: *117 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.14, server: localhost, request: "GET /static/assets/css/main.css HTTP/1.1", upstream: "http://[::1]:5000/static/assets/css/main.css", host: "10.100.80.14", referrer: "http://10.100.80.14/"
2022/05/07 08:10:20 [error] 8188#5516: *112 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.14, server: localhost, request: "GET /static/task4.js HTTP/1.1", upstream: "http://[::1]:5000/static/task4.js", host: "10.100.80.14", referrer: "http://10.100.80.14/task4"
2022/05/07 08:10:38 [error] 8188#5516: *117 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.100.80.14, server: localhost, request: "GET /static/assets/css/main.css HTTP/1.1", upstream: "http://[::1]:5000/static/assets/css/main.css", host: "10.100.80.14", referrer: "http://10.100.80.14/task2"
2022/05/07 08:34:42 [notice] 8604#9572: signal process started
2022/05/07 08:41:27 [error] 10868#5760: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.101.54.10, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:5000/", host: "10.100.80.14"
2022/05/07 08:42:10 [error] 10868#5760: *23 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.101.54.10, server: localhost, request: "POST /single_or_double HTTP/1.1", upstream: "http://[::1]:5000/single_or_double", host: "10.100.80.14", referrer: "http://10.100.80.14/"
